Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Lepilemur_dorsalis,Primates,Strepsirrhini,21.3,16.3,17.8,54.6,61.2,71.5,116.3,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Lepilemur_leucopus,Primates,Strepsirrhini,20.5,14.1,17.1,58.3,67,67.8,113.7,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Lepilemur_ruficaudatus,Primates,Strepsirrhini,23.4,14.8,19.8,55.9,67.3,66.6,114.9,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Litocranius_walleri,Artiodactyla,Ruminantia,61.3,38.8,52.8,25.7,96.7,84.4,126.3,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Lophocebus_albigena,Primates,Anthropoidea,51.8,21.8,36.2,87.8,75.9,74.8,99,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Loris_tardigradus,Primates,Strepsirrhini,20.1,15.6,14.9,61.6,49.4,62.5,131.8,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Lutreolina_crassicaudata,Didelphimorphia,Didelphimorphia,16.8,10.4,18.1,46.5,36.4,59.2,154.3,0.3,nocturnal,1,0,0,1,faunivore,0,1,0,0,2,terrestrial,0,1,0,3
Lycaon_pictus,Carnivora,Caniformia,53.5,34.7,52.2,48.2,43.3,62.7,138.9,0.3,crepuscular,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Lynx_canadensis,Carnivora,Feliformia,46.3,30.9,42.4,59.6,56.2,60.4,124.9,0.7,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Lynx_rufus,Carnivora,Feliformia,43.1,29.4,38.7,65,58,59.4,121.5,0.8,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Macroscelides_proboscideus,Macroscelidea,Macroscelidea,14.8,7.8,12,48.2,15.4,47.4,159.8,0.1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Marmosa_murina,Didelphimorphia,Didelphimorphia,11.4,8.3,10.7,45.8,40.7,60.7,144,0.2,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Marmosa_robinsoni,Didelphimorphia,Didelphimorphia,11,7.9,10.3,42.4,32,59.9,151.7,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Mazama_gouazoupira,Artiodactyla,Ruminantia,46.1,30.2,41,34.7,61.5,73.3,138.3,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Metachirus_nudicaudatus,Didelphimorphia,Didelphimorphia,16.2,11.4,16.6,44,19,49.3,162.5,0.2,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Microcebus_coquereli,Primates,Strepsirrhini,20.4,14.1,16.9,58.8,58.2,63.8,123.6,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Microcebus_murinus,Primates,Strepsirrhini,13.2,10,10.7,45.3,57,64.6,132.4,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Microcebus_rufus,Primates,Strepsirrhini,12.9,9.7,10,43.2,52.9,61.6,130.2,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Microsciurus_isthmius,Rodentia,Sciurinae,14.7,9.1,12.9,30.5,10.8,62.9,161,0.2,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Miopithecus_talapoin,Primates,Anthropoidea,38.2,17.4,24.7,80.6,76.1,84.8,107.2,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Monodelphis_americana,Didelphimorphia,Didelphimorphia,9.6,7.3,9.4,42.8,13.5,48.2,168.1,0.2,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Monodelphis_brevicaudata,Didelphimorphia,Didelphimorphia,11.2,7.4,10.7,47.7,21.1,57.8,164.7,0.2,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Mungos_mungo,Carnivora,Feliformia,25.6,12.8,21.8,45.7,56.2,77.3,141.8,0.5,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Nandinia_binotata,Carnivora,Feliformia,29.1,17.8,29.3,47.5,48.3,64.5,142.5,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Nasalis_concolor,Primates,Anthropoidea,43.1,21.3,32.1,86.4,89.4,94.8,88.1,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Nasua_nasua,Carnivora,Caniformia,37.4,19.2,35.8,40.3,32.3,59.5,154.1,0.2,diurnal,0,0,1,3,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Neofelis_nebulosa,Carnivora,Feliformia,48.7,36.2,47.4,61.1,47.6,55.1,131.7,0.3,diurnal,0,0,1,3,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Nyctereutes_procyonoides,Carnivora,Caniformia,33.8,19.3,31,49.6,45.6,61.5,142.5,0.4,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Nycticebus_coucang,Primates,Strepsirrhini,26.1,19,21.5,63,52.5,65.3,128.6,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Nycticebus_pygmaeus,Primates,Strepsirrhini,21.7,16.2,17.3,60.3,54.6,61.7,127.5,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Nyctimene_celaeno,Chiroptera,Mega (P),13.1,11,12.6,50.1,52.3,59.4,135.9,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Nyctimene_major,Chiroptera,Mega (P),12.7,9.4,12.2,53.7,54.8,58.9,130.5,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Odocoileus_virginianus,Artiodactyla,Ruminantia,57.2,38.3,57.3,42.1,65,75,126.9,1,crepuscular,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Oreotragus_oreotragus,Artiodactyla,Ruminantia,39.6,30.5,36.9,27.4,91.8,90.8,114.7,1,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Otocyon_megalotis,Carnivora,Caniformia,37.4,22.7,32.1,53.1,47,64,137.6,0.6,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Otolemur_crassicaudatus,Primates,Strepsirrhini,25.6,18.7,22.8,55,57.9,60.3,125.3,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Ourebia_ourebi,Artiodactyla,Ruminantia,40.4,30.5,40.5,27.7,73.8,80.8,122.1,1,crepuscular,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Paguma_larvata,Carnivora,Feliformia,34.6,21,34.6,52.5,42.7,61.8,144.4,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Pan_troglodytes,Primates,Anthropoidea,83.5,35,64.2,80,79.9,87.5,103.5,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,variable (arboreal & terrestrial),NA,NA,NA,0
Panthera_leo,Carnivora,Feliformia,81.3,61.1,94.7,67.6,41.5,50.2,131.5,0.5,cathemeral,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Panthera_onca,Carnivora,Feliformia,75.1,50.8,78.8,62.1,54.5,60.9,127.4,0.5,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Papio_hamadryas,Primates,Anthropoidea,68,26,51,84,91.6,79.6,86.3,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Paracynictis_selousi,Carnivora,Feliformia,26.9,16.8,23.2,44.2,47.3,65.9,140.8,0.8,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Pelea_capreolus,Artiodactyla,Ruminantia,50.4,40.4,48.6,34.7,86.4,80.9,109.2,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Perodicticus_potto,Primates,Strepsirrhini,26.1,16.1,22.3,61.6,47.6,53.6,136.7,1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Petaurista_alborufus,Rodentia,Pteromyinae,29.5,18.2,26.9,32.3,39.8,65.6,144.5,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petaurista_elegans,Rodentia,Pteromyinae,23.8,16,20.5,40.9,47.5,63.7,137.3,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petaurista_leucogenys,Rodentia,Pteromyinae,25.6,16.4,22.7,33.9,41.3,66.2,143.4,0.4,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petaurista_petaurista,Rodentia,Pteromyinae,26.8,17.9,23.3,34.7,47.6,58.1,140.4,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petaurista_philippensis,Rodentia,Pteromyinae,26.4,17.4,23.1,26.2,48.1,71.8,142.7,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petauroides_volans,Diprotodontia,Petauridae,20.8,11.9,18.9,51.1,38.7,59.2,144.4,0.1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Petaurus_australis,Diprotodontia,Petauridae,21,11.2,18.9,42.7,58.8,69.8,131.2,0,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Petinomys_crinitus,Rodentia,Pteromyinae,22.6,14,20.6,38.7,36.1,60,147.2,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Petrodromus_tetradactylus,Macroscelidea,Macroscelidea,18,13.5,15.2,41.2,5.8,50,168.5,0.2,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Phalanger_carmelitae,Diprotodontia,Diprotodontia,25,17.5,23.1,62.4,38.6,49.1,143.6,0.3,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Phalanger_lullulae,Diprotodontia,Diprotodontia,22.2,14.9,20.9,62.3,42.5,49.1,140,0.2,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Phalanger_orientalis,Diprotodontia,Diprotodontia,29.5,21.2,26.8,62.6,41.5,49.2,139.7,0.3,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Phalanger_sericeus,Diprotodontia,Diprotodontia,25.7,16.5,23.4,61.2,39.2,48.5,145.2,0.2,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Phalanger_vestitus,Diprotodontia,Diprotodontia,24.7,15.3,22.6,65.2,27.5,39.8,153.9,0.1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Phaner_furcifer,Primates,Strepsirrhini,20.7,14.3,17.2,42.2,61.7,68.7,127.3,1,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Philander_andersoni,Didelphimorphia,Didelphimorphia,18.2,10.5,18.6,45.3,27.2,49.2,158.4,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Philander_opossum,Didelphimorphia,Didelphimorphia,16.4,9.8,16.1,49.2,31.7,51.1,154,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Pithecia_monachus,Primates,Anthropoidea,36.7,18.3,26.3,67.7,68,79.3,118.6,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Pithecia_pithecia,Primates,Anthropoidea,34.6,17.6,24.6,66.4,71.1,76.1,115.4,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Poiana_richardsonii,Carnivora,Feliformia,22.6,15.4,18.7,47.5,38,58.1,150.1,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Pongo_pygmaeus,Primates,Anthropoidea,90.7,43.1,73.3,83.3,57.8,79.6,115.3,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Potamochoerus_porcus,Artiodactyla,Suiformes,61.9,42.2,73.4,49.4,27.1,58,145.2,0.5,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Potos_flavus,Carnivora,Caniformia,35.8,20.2,31,53.1,61.4,70.6,132.1,0.3,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Presbytis_melalophos,Primates,Anthropoidea,45.8,22.2,32.8,90.2,74.4,91.1,97.1,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Priodontes_maximus,Cingulota,Cingulota,50.8,23.5,48.3,12.9,39.8,82.2,157.8,0.1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Prionodon_pardicolor,Carnivora,Feliformia,22.6,14.1,19.9,38.2,35.2,59.2,153.2,0.1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Procapra_gutturosa,Artiodactyla,Ruminantia,54.5,37.7,52.5,31.2,75.9,82.3,119.1,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Procavia_capensis,Hyracoidea,Procaviidae,28,15.1,26.7,43.4,51.8,77.1,137,0.8,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Procolobus_badius,Primates,Anthropoidea,45.5,21.2,34.7,84.8,82.7,90.4,92.1,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Procyon_lotor,Carnivora,Caniformia,42.4,21.9,38,55.6,48.7,59.5,138.9,0.2,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Profelis_aurata,Carnivora,Feliformia,44.5,28.4,42.2,60.6,58.6,60.1,124.7,0.6,cathemeral,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Propithecus_diadema,Primates,Strepsirrhini,38.8,23.4,33,62.6,76.5,83.8,111.3,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Propithecus_tattersalli,Primates,Strepsirrhini,35,19.9,30,56.7,75.2,83.5,116.4,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Propithecus_verreauxi,Primates,Strepsirrhini,33.3,20.2,28.9,62.2,77.7,81.8,109.5,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Proteles_cristatus,Carnivora,Feliformia,43.3,28.8,44.3,69.3,58,66.5,119.5,0.6,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Protoxerus_stangeri,Rodentia,Sciurinae,22.8,15.6,21.2,23.3,29.7,69.7,157.5,0.3,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Pseudocheirus_caroli,Diprotodontia,Petauridae,19.1,10.8,18,47,36.3,52.5,151.8,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Pseudocheirus_forbesi,Diprotodontia,Petauridae,19.2,11.6,18.1,53.2,41.4,51.6,148.7,0,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Pteropus_admiralitatum,Chiroptera,Mega (P),17.9,11.3,15.8,58.1,66.5,64.4,120.2,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_alecto,Chiroptera,Mega (P),21.3,14.2,19.6,52.8,59.9,57.1,125.6,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_anetianus,Chiroptera,Mega (P),19.8,13.1,17.4,55.9,61.9,60.3,120.7,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_conspicillatus,Chiroptera,Mega (P),22.8,15.1,20.7,47.6,59.7,59.6,128.7,0.7,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_giganteus,Chiroptera,Mega (P),21.3,13.8,19,53.1,55.6,55.8,129.5,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_hypomelanus,Chiroptera,Mega (P),20.2,12.6,18.2,57.4,62.2,57.1,120.7,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_leucopterus,Chiroptera,Mega (P),20.5,14.4,19,51.7,61.6,55.8,125.2,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_lylei,Chiroptera,Mega (P),20.3,13.4,18,50.3,64.3,60.4,127.2,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_neohibernicus,Chiroptera,Mega (P),24.3,16.8,22.8,49.5,58.1,59.6,128.5,0.8,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_ornatus,Chiroptera,Mega (P),20.9,13,18.9,54.4,59,57.2,124.8,0.7,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_poliocephalus,Chiroptera,Mega (P),22.63,14.6,20.4,49.87,67.27,61.43,126.12,0.87,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_rayneri,Chiroptera,Mega (P),22.84,14.2,21.02,51.82,63,60.74,126.52,0.76,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_rodricensis,Chiroptera,Mega (P),17.5,9.6,15.7,55.6,70.4,66.5,122.7,0.8,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_rufus,Chiroptera,Mega (P),21.9,13.8,20.1,54.9,66.7,60.9,122.6,0.8,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_scapulatus,Chiroptera,Mega (P),19.33,12.7,17.47,49.95,72.83,65.03,120.5,0.92,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_seychellensis,Chiroptera,Mega (P),20.4,12.1,19,48.3,78.6,73,121,0.9,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_speciosus,Chiroptera,Mega (P),18.8,12.8,16.9,49.4,65.5,62.3,125.4,0.7,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Pteropus_vampyrus,Chiroptera,Mega (P),24.6,17.2,23.65,50.15,64.05,58.2,125.65,0.95,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Ptilocercus_lowii,Scandentia,Ptilocercinae,12.8,7.5,12.1,50.1,56.1,67.6,128.8,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Pudu_mephistophiles,Artiodactyla,Ruminantia,36.8,24.2,33.7,42.5,53,70.5,139.1,1,crepuscular,0,1,0,2,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Pygathrix_nemaeus,Primates,Anthropoidea,52.4,24.6,39.7,82.8,83.3,86.8,96.2,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Raphicerus_campestris,Artiodactyla,Ruminantia,39.4,28.5,37.1,29.9,82.8,87.7,126.6,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Ratufa_bicolor,Rodentia,Sciurinae,28.1,17.6,26.3,17.4,32.1,75,155.9,0.4,diurnal,0,0,1,3,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Redunca_redunca,Artiodactyla,Ruminantia,51.2,37.5,50.3,33.3,83,78.7,118.9,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Rhynchocyon_chrysopygus,Macroscelidea,Macroscelidea,19.6,14.8,16.1,17.6,8.9,77.7,148.3,0.8,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Rhynchocyon_cirnei,Macroscelidea,Macroscelidea,18.1,15.6,17.3,14.1,14.3,69.6,160.2,0.7,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Rhynchocyon_petersi,Macroscelidea,Macroscelidea,17.1,13.8,16.3,20.9,27.7,72,151.3,0.7,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Rousettus_egyptiacus,Chiroptera,Mega (P),14,9.9,12.7,38.6,52.4,62.2,141.8,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Saguinus_fuscicollis,Primates,Anthropoidea,21.6,10.2,14.9,67.8,89.7,94.4,99.3,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Saguinus_nigricollis,Primates,Anthropoidea,22.2,10.2,14.7,68.1,87,97.4,102.5,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Saguinus_oedipus,Primates,Anthropoidea,22,10.1,15.2,74,80.4,91.7,103.3,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Saimiri_boliviensis,Primates,Anthropoidea,30.8,13.8,18.9,81.7,68.3,75.5,114.2,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Saimiri_oerstedii,Primates,Anthropoidea,30.3,14.3,19.3,72.4,72.6,83.7,116.1,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Saimiri_sciureus,Primates,Anthropoidea,30.5,15.1,19.1,69.9,70.8,83.1,114.6,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Salanoia_concolor,Carnivora,Feliformia,27.4,12,23,36.4,45.9,73.9,148.2,0.4,diurnal,0,0,1,3,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Sciurus_carolinensis,Rodentia,Sciurinae,20.5,13.7,18,22.1,28,67.3,153.9,0.4,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Sciurus_griseus,Rodentia,Sciurinae,21.7,14.1,19.7,24.1,26.1,63.4,156.1,0.3,diurnal,0,0,1,3,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Semnopithecus_entellus,Primates,Anthropoidea,52.7,23.3,39.1,88.2,92.9,96.3,85.4,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,variable (arboreal & terrestrial),NA,NA,NA,0
Speothos_venaticus,Carnivora,Caniformia,40.3,22.2,37.6,45.3,38.6,67.1,147,0.1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Spermophilus_parryii,Rodentia,Sciurinae,19.4,15,17.8,37.7,23.9,56.8,158.3,0.1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Suricata_suricatta,Carnivora,Feliformia,24.43,13.2,19.79,43.04,72.18,77.06,127.53,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Sus_barbatus,Artiodactyla,Suiformes,50.5,36.5,56.4,42.6,31.7,60.6,143.9,0.5,crepuscular,0,1,0,2,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Sus_celebensis,Artiodactyla,Suiformes,52.5,37,60.5,38,30.1,56.8,143,0.5,crepuscular,0,1,0,2,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Sus_scrofa,Artiodactyla,Suiformes,67.2,49.8,75.7,46.8,27.5,58.1,141.2,0.5,crepuscular,0,1,0,2,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Tamias_striatus,Rodentia,Sciurinae,13.8,8.4,11.7,35.1,32.3,62.6,157,0.1,diurnal,0,0,1,3,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Tamiasciurus_douglasii,Rodentia,Sciurinae,17.6,11.3,15.5,26.1,17,56.5,159.5,0.2,diurnal,0,0,1,3,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Tapirus_pinchaque,Perissodactyla,Tapiridae,76,52.1,85.4,28.2,45.9,72.6,155.1,0.2,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Tapirus_terrestris,Perissodactyla,Tapiridae,84.5,56.7,96.5,37,51.1,73.5,147.4,0.1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Tarsius_bancanus,Primates,Tarsiiformes,16.8,18.4,11.5,52.5,67.2,68.3,116.1,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Tarsius_spectrum,Primates,Tarsiiformes,16.3,16.1,11.3,59,63.4,71.8,116.8,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Tarsius_syrichta,Primates,Tarsiiformes,16.9,17.8,11.5,53.4,65.8,62.9,118.1,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Tayassu_pecari,Artiodactyla,Suiformes,56.3,39.2,62.9,25.7,73.4,83.5,142,0.6,nocturnal,1,0,0,1,variable (oppurtunistic faunivory),0,0,1,0,3,terrestrial,0,1,0,3
Theropithecus_gelada,Primates,Anthropoidea,60.4,21.1,48.4,89.5,109.1,103.4,71.2,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Thoopterus_nigrescens,Chiroptera,Mega (P),13.1,8.8,12.3,47.2,59.8,64.4,131.1,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Trachypithecus_cristatus,Primates,Anthropoidea,47.2,22.4,34.1,72.9,78.3,87.5,108.1,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Trachypithecus_johnii,Primates,Anthropoidea,50.6,21.6,36.4,86.4,78.4,87.8,96.6,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Tragulus_javanicus,Artiodactyla,Ruminantia,24,19.9,18.4,25.5,57,75.4,135.5,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
