Taxon,ORDER,GROUP,BrainVolume,OrbitDiameter,GeoMeanLinearVars,Convergence,Frontition,Verticality,OrbitotemporalAngle,PostorbitalGap,Activity.Pattern,Noccode,Catcode,Dicode,ActCode,Diet,Fauncode,Omnicode,Varicode,NonFcode,Dietcode,Substrate,Arbcode,Tercode,Aercode,SubCode
Brachyteles_arachnoides,Primates,Anthropoidea,52.6,24.7,38.5,82.4,71.8,84.7,110.8,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Bradypus_tridactylus,Pilota,Pilota,27.4,18.6,25.5,28.6,60.6,80.3,147.8,0.4,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Bradypus_variegatus,Pilota,Pilota,26.3,18.5,24.2,23.4,53.6,81.5,149.8,0.3,cathemeral,0,1,0,2,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Callicebus_caligatus,Primates,Anthropoidea,29,16,20.7,76.5,74.8,82.6,110.9,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_moloch,Primates,Anthropoidea,29.4,16.4,20.9,85.4,76.6,86.1,103.6,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_personatus,Primates,Anthropoidea,29.1,14.8,21,82.3,79.4,87.9,102.8,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callicebus_torquatus,Primates,Anthropoidea,29.2,15.5,21.5,69.9,76.7,86,113,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callimico_goeldii,Primates,Anthropoidea,25.1,11.7,16.9,69.9,87.3,90.6,101.8,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Callithrix_argentata,Primates,Anthropoidea,21.3,9.4,14.6,61.9,92.6,95.3,100,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callithrix_humeralifera,Primates,Anthropoidea,21.9,9.7,15.2,64.5,95,102.1,99.9,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callithrix_jacchus,Primates,Anthropoidea,21.7,9,14.8,63.5,83.5,88,107.8,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Callithrix_pygmaea,Primates,Anthropoidea,17.2,8.1,12,66.7,88.4,96.7,97.2,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Caluromys_derbianus,Didelphimorphia,Didelphimorphia,17,11.6,16.2,45.2,42.2,56.7,141.6,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Caluromys_lanatus,Didelphimorphia,Didelphimorphia,18.3,12.7,17.5,51.6,44.5,57.8,140.9,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Caluromys_philander,Didelphimorphia,Didelphimorphia,18.2,13.2,16.8,48.7,41.6,55.6,144.6,0.4,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Canis_lupus,Carnivora,Caniformia,62.5,37.8,64.5,50.7,42.3,58.5,139.1,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Catagonus_wagneri,Artiodactyla,Suiformes,57.3,40.9,68.1,34.1,60.6,71.2,133.3,0.6,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Cebus_albifrons,Primates,Anthropoidea,42.3,19.8,29.2,77.9,74.9,80.4,105.1,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Cebus_apella,Primates,Anthropoidea,45.1,21.2,31.2,74.8,78.9,83.6,107.1,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Cebus_capucinus,Primates,Anthropoidea,43.4,20.7,29.8,72.8,78.1,80.8,109.2,1,diurnal,0,0,1,4,variable (oppurtunistic faunivory),0,0,1,0,3,arboreal,1,0,0,1
Cercocebus_agilis,Primates,Anthropoidea,52.9,23.3,38.5,87.7,82.8,79.1,92.4,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Cerdocyon_thous,Carnivora,Caniformia,39.7,25.8,37.5,50.3,46.1,65,139.7,0.4,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Cervus_elaphus,Artiodactyla,Ruminantia,84.8,53.8,96.4,30.3,69.4,81.9,128.2,1,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Chaetophractus_villosus,Cingulota,Cingulota,29.5,16.4,29.8,37.4,14.8,56.9,160.7,0.2,cathemeral,0,1,0,2,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Cheirogaleus_major,Primates,Strepsirrhini,22,15.2,19.1,55.8,61.1,64.1,125.1,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Cheirogaleus_medius,Primates,Strepsirrhini,18.3,12.8,16.2,66.9,63.8,56.9,116.6,1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,arboreal,1,0,0,1
Chironectes_minimus,Didelphimorphia,Didelphimorphia,19.8,12.9,19.5,51.1,43.4,52.3,142,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,semiaquatic,0,0,0,0
Chlorocebus_aethiops,Primates,Anthropoidea,45.6,21.8,32.7,91,77,79.5,95.3,1,diurnal,0,0,1,4,omnivore,0,1,0,0,2,variable (arboreal & terrestrial),NA,NA,NA,NA
Choloepus_didactylus,Pilota,Pilota,40.5,23.1,39.5,35.9,61.3,74.1,141,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Choloepus_hoffmanni,Pilota,Pilota,33.2,21.9,32.6,38.4,61.3,71.4,143.6,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Civettictis_civetta,Carnivora,Feliformia,38.4,24.3,40.7,48.1,39.2,60.5,147.6,0.3,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Colobus_guereza,Primates,Anthropoidea,49.7,21.3,37.9,79.2,71.4,82.4,107.3,1,diurnal,0,0,1,4,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Crocuta_crocuta,Carnivora,Feliformia,79.7,48.6,83.6,56.4,46.9,63.2,134.9,0.4,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Crossarchus_alexandri,Carnivora,Feliformia,26.3,12.7,23.7,39.3,46.1,67.5,149.7,0.5,cathemeral,0,1,0,2,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Cryptoprocta_ferox,Carnivora,Feliformia,37.9,25.9,37.5,51.3,43,62.1,142.7,0.3,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Cuon_alpinus,Carnivora,Caniformia,52.1,29.7,46.9,51.7,42.1,61.3,141.4,0.3,crepuscular,0,1,0,2,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Cynictis_penicillata,Carnivora,Feliformia,27.1,15.1,24.6,47.7,45.7,66.9,140.9,1,diurnal,0,0,1,3,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Cynocephalus_variegatus,Dermoptera,Dermoptera,22.6,20.4,21.7,38.7,50.6,66.8,138.7,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Cynocephalus_volans,Dermoptera,Dermoptera,20.9,17.8,22.1,45.9,53.2,62.8,131.6,0.6,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Cynogale_bennettii,Carnivora,Feliformia,36.5,19.7,33.4,59.5,32.5,49.8,149.5,0.1,,NA,NA,NA,0,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Cynomys_ludovicianus,Rodentia,Sciurinae,21.4,16,20,39.4,22.3,57.6,157.3,0.2,diurnal,0,0,1,3,non-predator,0,0,0,1,4,terrestrial,0,1,0,3
Cynopterus_brachyotis,Chiroptera,Mega (P),10.5,7.8,9.6,42.7,50.9,67.2,136.9,0.3,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Dactylopsila_palpator,Diprotodontia,Petauridae,23,10,20.8,59.5,45,48.1,136.7,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Daubentonia_madagascariensis,Primates,Strepsirrhini,36.4,21.7,32.3,56.4,56.5,67.5,125,1,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,arboreal,1,0,0,1
Dendrohyrax_arboreus,Hyracoidea,Procaviidae,28.77,16.2,26.27,48.5,48.5,74,138.4,0.97,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Dendrohyrax_dorsalis,Hyracoidea,Procaviidae,33.3,18.2,30.4,44.5,53.6,74.5,140.5,1,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,arboreal,1,0,0,1
Didelphis_albiventris,Didelphimorphia,Didelphimorphia,24.1,13.4,26.1,45.9,35.2,54.2,150.9,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Didelphis_marsupialis,Didelphimorphia,Didelphimorphia,19.1,10.8,20.7,57.2,34.9,46.1,148.2,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Didelphis_virginiana,Didelphimorphia,Didelphimorphia,25.5,14.7,28.7,59.8,34.7,49.3,146.4,0.1,nocturnal,1,0,0,1,omnivore,0,1,0,0,2,terrestrial,0,1,0,3
Dobsonia_exoleta,Chiroptera,Mega (P),17.1,11.1,15.9,52.9,57.9,65.5,128.3,0.4,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Dobsonia_minor,Chiroptera,Mega (P),13.2,10.3,12.8,50.8,67.2,75.6,122.5,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
Dologale_dybowskii,Carnivora,Feliformia,22.2,9.9,17.7,45,63.5,75.2,136.6,0.5,,NA,NA,NA,0,,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Echinosorex_gymnura,Erinaceomorpha,Erinaceomorpha,22.1,10.4,23.2,40,12,57.5,167.2,0.2,nocturnal,1,0,0,1,faunivore,1,0,0,0,1,terrestrial,0,1,0,3
Eidolon_dupreanum,Chiroptera,Mega (P),18.4,11.6,16.7,47,64.4,63.1,130.3,0.5,nocturnal,1,0,0,1,non-predator,0,0,0,1,4,aerial,0,0,1,2
